Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0040","0.0058"
"0.0200","0.0043","0.0064"
"0.0400","0.0047","0.0052"
"0.0600","0.0050","0.0030"
"0.0800","0.0054","0.0043"
"0.1000","0.0060","0.0019"
"0.1200","0.0064","0.0031"
"0.1400","0.0068","0.0029"
"0.1600","0.0072","0.0022"
"0.1800","0.0077","0.0014"
"0.2000","0.0084","0.0002"
"0.2200","0.0087","0.0006"
"0.2400","0.0093","0.0002"
"0.2600","0.0098","0.0018"
"0.2800","0.0103","0.0004"
"0.3000","0.0108","0.0010"
"0.3200","0.0112","0.0007"
"0.3400","0.0116","0.0004"
"0.3600","0.0124","0.0008"
"0.3800","0.0127","0.0006"
"0.4000","0.0134","0.0003"
"0.4200","0.0137","-0.0011"
"0.4400","0.0143","0.0065"
"0.4600","0.0147","0.0016"
"0.4800","0.0149","0.0009"
"0.5000","0.0155","0.0119"
"0.5200","0.0158","0.0050"
"0.5400","0.0165","0.0021"
"0.5600","0.0168","0.0017"
"0.5800","0.0173","0.0023"
"0.6000","0.0178","-0.0005"
"0.6200","0.0184","-0.0002"
"0.6400","0.0189","0.0018"
"0.6600","0.0192","-0.0001"
"0.6800","0.0199","-0.0015"
"0.7000","0.0204","0.0037"
"0.7200","0.0210","0.0011"
"0.7400","0.0216","-0.0017"
"0.7600","0.0221","0.0036"
"0.7800","0.0225","-0.0011"
"0.8000","0.0229","-0.0029"
"0.8200","0.0235","0.0044"
"0.8400","0.0239","-0.0010"
"0.8600","0.0246","-0.0013"
"0.8800","0.0246","0.0055"
"0.9000","0.0251","0.0043"
"0.9200","0.0257","-0.0009"
"0.9400","0.0265","-0.0036"
"0.9600","0.0268","0.0019"
"0.9800","0.0271","-0.0029"
"1.0000","0.0274","-0.0035"
"1.0200","0.0282","0.0040"
"1.0400","0.0287","-0.0014"
"1.0600","0.0292","-0.0028"
"1.0800","0.0294","0.0051"
"1.1000","0.0300","-0.0007"
"1.1200","0.0306","-0.0039"
"1.1400","0.0311","0.0055"
"1.1600","0.0314","-0.0020"
"1.1800","0.0322","-0.0036"
